4950007285934062|02|2030|331
4637868250481491|04|2029|136
4367863051014996|04|2028|491
4760132834543840|02|2031|086
4555436256587728|01|2029|091
4972286745697015|04|2030|668
4356182674780093|12|2029|869
4192544214316405|10|2027|027
4534376572769803|03|2026|647
4335084676042316|02|2026|127
4848242537503922|09|2028|834
4493051904796522|08|2031|435
4306813059708404|11|2027|197
4523409805362985|05|2026|858
4155005226863515|03|2026|326
4542753352111509|02|2028|737
4739421583997258|03|2026|462
4811314470950243|10|2028|296
4704591883645487|03|2030|040
4812137211615098|09|2028|947
4233818243593586|08|2028|017
4231483986759239|12|2027|547
4704829026083951|10|2027|255
4417674525318231|09|2025|661
4975193790384483|06|2028|290
4641236655902325|08|2031|016
4538631317800594|10|2029|839
4792060215321054|04|2027|688
4913226191850302|02|2031|730
4068029154703931|10|2028|052
4376891903582013|03|2031|680
4398922138584822|11|2025|535
4474568440876126|11|2026|323
4329812739145838|06|2029|908
4563589559983276|11|2028|853
4497128575321492|10|2031|458
4791793577851092|03|2029|377
4758247521329179|03|2027|350
4870872597864840|01|2025|223
4585378917023458|04|2026|640
4642200666103410|07|2031|810
4123437837220550|01|2031|669
