4400225111535642|10|2031|297
4400225984728313|03|2028|428
4400220777017405|08|2030|793
4400223290533907|12|2030|659
4400228900663045|11|2027|638
4400226053267755|03|2028|706
4400220564821587|02|2027|861
4400226227409696|08|2030|986
4400229145643571|05|2030|099
4400226976557238|02|2027|427
4400227270689676|02|2028|280
4400229566931276|01|2027|628
4400221385273063|01|2030|174
4400226160061181|02|2029|916
4400220229829750|10|2030|178
4400222286231470|08|2025|812
4400225664505726|10|2027|564
4400229032868224|07|2027|772
4400220976612914|08|2030|802
4400223816683017|01|2026|889
4400223141174894|02|2031|967
4400223191654603|04|2030|175
